brand	file	size_kb	pages	type_detected	price_suggested	price_final	title	slug	description	notes
ROBLAND	Robland X310.pdf	10441	63	Unknown	10	10	ROBLAND - Robland X310	robland-robland-x310		
ROBLAND	Robland Z 3800 3200 2500 scie a format manual.pdf	1470	43	Manual	25	25	ROBLAND - Robland Z 3800 3200 2500 scie a format manual	robland-robland-z-3800-3200-2500-scie-a-format-manual		
ROBLAND	Robland-X310-X260-XTZ30-XSD310 manual + parts HD.pdf	65895	59	Manual	25	25	ROBLAND - Robland-X310-X260-XTZ30-XSD310 manual + parts HD	robland-robland-x310-x260-xtz30-xsd310-manual-parts-hd		
ROBLAND	Robland-X310-X260-XTZ30-XSD310 manual + parts.pdf	7452	59	Manual	25	25	ROBLAND - Robland-X310-X260-XTZ30-XSD310 manual + parts	robland-robland-x310-x260-xtz30-xsd310-manual-parts		
SAMCO	SAMCO Catalogue pi̬ces.pdf	1653	30	Parts List	19	19	SAMCO - SAMCO Catalogue pi̬ces	samco-samco-catalogue-pieces		
SAMCO	SAMCO Manuel utilisation.pdf	7171	45	Manual	25	25	SAMCO - SAMCO Manuel utilisation	samco-samco-manuel-utilisation		
SCHAUBLIN	Schaublin 102 manual.pdf	803	17	Manual	15	15	SCHAUBLIN - Schaublin 102 manual	schaublin-schaublin-102-manual		
SCHEPPACH	scheppach hms1070.pdf	5514	156	Unknown	10	10	SCHEPPACH - scheppach hms1070	scheppach-scheppach-hms1070		
SCHEPPACH	Scheppach HS250L.pdf	5925	60	Unknown	10	10	SCHEPPACH - Scheppach HS250L	scheppach-scheppach-hs250l		
SCHEPPACH	Signal C310 - C250 notice.pdf	37350	35	Notice	15	15	SCHEPPACH - Signal C310 - C250 notice	scheppach-signal-c310-c250-notice		
SCM	SCM F520 e degauchisseuse.pdf	810	10	Unknown	10	10	SCM - SCM F520 e degauchisseuse	scm-scm-f520-e-degauchisseuse		
SCM	SCM Minimax - Genius C26 - Manuel technique.pdf	17337	18	Manual	15	15	SCM - SCM Minimax - Genius C26 - Manuel technique	scm-scm-minimax-genius-c26-manuel-technique		
SCM	SCM RECORD 130 TV.pdf	2543	9	Unknown	10	10	SCM - SCM RECORD 130 TV	scm-scm-record-130-tv		
SCM	SCM S 50N.pdf	4580	30	Unknown	10	10	SCM - SCM S 50N	scm-scm-s-50n		
SCM	SCM S520 e Raboteuse fonctionnement-entretien.pdf	1005	69	Unknown	10	10	SCM - SCM S520 e Raboteuse fonctionnement-entretien	scm-scm-s520-e-raboteuse-fonctionnement-entretien		
SCM	SCM SI16WA-WF-SW-SF-F-operations scie circulaire.pdf	6892	56	Unknown	10	10	SCM - SCM SI16WA-WF-SW-SF-F-operations scie circulaire	scm-scm-si16wa-wf-sw-sf-f-operations-scie-circulaire		
SCM	SCM T130 N-NPS toupie manual.pdf	7656	58	Manual	25	25	SCM - SCM T130 N-NPS toupie manual	scm-scm-t130-n-nps-toupie-manual		
SCM	SCM TF 130 CLASS Toupie instruction.pdf	7548	233	Manual	25	25	SCM - SCM TF 130 CLASS Toupie instruction	scm-scm-tf-130-class-toupie-instruction		
SICAR	Sicar H210 H300 H350 TS250.pdf	8049	44	Unknown	10	10	SICAR - Sicar H210 H300 H350 TS250	sicar-sicar-h210-h300-h350-ts250		
SICM	S.I.C.M Chambon SF284 scie circulaire (1983).pdf	3830	51	Unknown	10	10	SICM - S.I.C.M Chambon SF284 scie circulaire (1983)	sicm-s-i-c-m-chambon-sf284-scie-circulaire-1983		
SIFMO	SIFMO SR35.pdf	3721	8	Unknown	10	10	SIFMO - SIFMO SR35	sifmo-sifmo-sr35		
